Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,41851.73548,46181.95294,44562.81802,48023.62691,52855.14048,51213.66133,60529.92676,70056.87339,
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,30642.94062,33689.83853,32525.95659,36291.23211,37539.95182,35690.96308,37180.84981,40270.25135,
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30180.32151,30668.98143,31952.97592,
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.58832,5093.972548,5208.996089,4976.848781,4839.892104,4925.415859,4883.86027,5114.041081,
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775,4096.099275,4087.937517,4129.751664,
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34567.74568,38972.34064,38428.09732,
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844,9030.383889,
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,967.3504549,987.4453967,1155.020583,1229.101069,1335.123148,1355.055471,1462.503743,1594.834926,
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1219.824048,
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,785.6928841,882.4901462,951.1112311,1013.665952,1093.762067,1163.18977,1269.907238,1384.423187,
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1520.875339,1736.211995,1784.428931,1705.56891,1626.893872,1522.306195,1558.886953,1594.29287,
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,14904.94842,15742.95529,15219.1976,15977.28383,17061.30296,17247.17086,17492.80719,17924.06546,
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743,29742.83886,
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,38497.61696,48268.5912,51264.07134,48399.80782,42996.31522,29109.06874,27368.28668,29040.36371,
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8537.477238,9514.015897,9440.558257,9553.442718,9736.740263,7887.48546,7620.864509,8350.108418,
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781,2159.433152,2338.692157,2457.377414,
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8858.283972,8734.189185,8959.258471,8807.901335,8660.036928,8529.51366,8571.126248,8808.589448,
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,506.0630046,589.1650146,650.7136207,715.5370459,716.0529087,706.0594659,710.4360094,694.3195828,
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,12120.56217,5602.549434,13209.14078,10571.85076,6631.529047,4465.490366,4166.630529,5978.042926,
